time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-18 00:00:00+00:00,122,83,449,203
2026-06-19 00:00:00+00:00,104,66,304,140
2026-06-20 00:00:00+00:00,123,66,199,144
2026-06-21 00:00:00+00:00,122,68,225,100
2026-06-22 00:00:00+00:00,124,77,628,198
2026-06-23 00:00:00+00:00,106,62,635,211
2026-06-24 00:00:00+00:00,153,69,382,198
2026-06-25 00:00:00+00:00,113,64,429,198
2026-06-26 00:00:00+00:00,180,48,361,174
2026-06-27 00:00:00+00:00,117,87,287,134
2026-06-28 00:00:00+00:00,228,54,192,106
2026-06-29 00:00:00+00:00,77,54,522,224
2026-06-30 00:00:00+00:00,86,56,588,217
2026-07-01 00:00:00+00:00,80,62,387,183
