time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-18 00:00:00+00:00,150,122,1895,564
2026-03-19 00:00:00+00:00,407,154,2565,754
2026-03-20 00:00:00+00:00,116,100,2290,785
2026-03-21 00:00:00+00:00,75,51,1041,453
2026-03-22 00:00:00+00:00,83,72,811,357
2026-03-23 00:00:00+00:00,114,80,1624,604
2026-03-24 00:00:00+00:00,107,77,1862,568
2026-03-25 00:00:00+00:00,89,74,1317,485
2026-03-26 00:00:00+00:00,84,67,1596,508
2026-03-27 00:00:00+00:00,100,89,1258,404
2026-03-28 00:00:00+00:00,286,52,614,198
2026-03-29 00:00:00+00:00,59,45,700,230
2026-03-30 00:00:00+00:00,119,78,1256,431
2026-03-31 00:00:00+00:00,65,53,1285,378
