time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-28 00:00:00+00:00,228,54,192,106
2026-06-29 00:00:00+00:00,77,54,522,224
2026-06-30 00:00:00+00:00,86,56,588,217
2026-07-01 00:00:00+00:00,80,62,387,183
2026-07-02 00:00:00+00:00,144,56,327,173
2026-07-03 00:00:00+00:00,153,56,485,195
2026-07-04 00:00:00+00:00,74,45,217,98
2026-07-05 00:00:00+00:00,53,34,175,100
2026-07-06 00:00:00+00:00,142,63,505,226
2026-07-07 00:00:00+00:00,90,55,277,148
2026-07-08 00:00:00+00:00,64,50,279,157
2026-07-09 00:00:00+00:00,163,51,499,193
2026-07-10 00:00:00+00:00,432,59,297,146
2026-07-11 00:00:00+00:00,104,40,182,96
