time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-06 00:00:00+00:00,142,63,505,226
2026-07-07 00:00:00+00:00,90,55,277,148
2026-07-08 00:00:00+00:00,64,50,279,157
2026-07-09 00:00:00+00:00,163,51,499,193
2026-07-10 00:00:00+00:00,432,59,297,146
2026-07-11 00:00:00+00:00,104,40,182,96
2026-07-12 00:00:00+00:00,479,35,195,105
2026-07-13 00:00:00+00:00,110,74,328,158
2026-07-14 00:00:00+00:00,121,69,356,181
2026-07-15 00:00:00+00:00,168,59,299,157
2026-07-16 00:00:00+00:00,110,54,289,137
2026-07-17 00:00:00+00:00,77,45,267,133
2026-07-18 00:00:00+00:00,66,32,170,90
2026-07-19 00:00:00+00:00,100,36,218,105
