time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-25 00:00:00+00:00,44,32,221,105
2026-07-26 00:00:00+00:00,200,54,282,96
2026-07-27 00:00:00+00:00,1358,56,309,152
2026-07-28 00:00:00+00:00,376,71,283,156
2026-07-29 00:00:00+00:00,131,67,394,188
2026-07-30 00:00:00+00:00,102,60,374,172
2026-07-31 00:00:00+00:00,63,45,292,133
2026-08-01 00:00:00+00:00,63,36,166,79
2026-08-02 00:00:00+00:00,94,35,176,93
2026-08-03 00:00:00+00:00,87,45,404,182
2026-08-04 00:00:00+00:00,296,57,430,192
2026-08-05 00:00:00+00:00,73,52,452,192
2026-08-06 00:00:00+00:00,75,55,351,152
2026-08-07 00:00:00+00:00,176,43,313,151
